run_tag,lambda_gb,g2,selfinteraction,a_mg,b_mg,chi0,coupling,perturbation,width,T,num_points_t,r_max,min_dr,max_dr,num_grid_points,wall_time_s,solver_success,t_crash,solver_message,has_solution,has_diagnostics,has_eft_diagnostics,size_bytes
lgb-1.0_mu0.08_a0.2_b0.4_amp-0.02_R3_dr0.0625_quadratic_0,-1.0,,0.08,0.2,0.4,0.15,quadratic_0,-0.02,3,800.0,1000,150,0.0625,2,216,9062.427896261215,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,31237377
lgb-10.0_mu0.08_a0.2_b0.4_amp-0.02_R3_dr0.0625_quadratic_10,-10.0,,0.08,0.2,0.4,0.15,quadratic_10,-0.02,3,800.0,1000,150,0.0625,2,216,11200.109345674515,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,31237381
lgb-15.0_mu0.08_a0.2_b0.4_amp-0.02_R3_dr0.0625_quadratic_10,-15.0,,0.08,0.2,0.4,0.15,quadratic_10,-0.02,3,800.0,1000,150,0.0625,2,216,10991.720165014267,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,31237381
lgb-1_mu0.08_a0_b0_amp-0.02_R3_dr0.0416667_quadratic_0_g220,-1.0,20.0,0.08,0.0,0.0,0.15,quadratic_0,-0.02,3,800.0,1000,150,0.041666666666666664,2,220,16341.903681516647,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,True,58229599
lgb-2.0_mu0.08_a0.2_b0.4_amp-0.02_R3_dr0.0625_quadratic_0,-2.0,,0.08,0.2,0.4,0.15,quadratic_0,-0.02,3,800.0,1000,150,0.0625,2,216,11172.174816846848,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,31237377
lgb-20.0_mu0.08_a0.2_b0.4_amp-0.02_R3_dr0.0625_quadratic_10,-20.0,,0.08,0.2,0.4,0.15,quadratic_10,-0.02,3,800.0,1000,150,0.0625,2,216,196.770272731781,False,2.084083435979987,Required step size is less than spacing between numbers.,True,True,False,107005
lgb-25.0_mu0.08_a0.2_b0.4_amp-0.02_R3_dr0.0625_quadratic_10,-25.0,,0.08,0.2,0.4,0.15,quadratic_10,-0.02,3,800.0,1000,150,0.0625,2,216,233.4106833934784,False,2.056029634595381,Required step size is less than spacing between numbers.,True,True,False,107005
lgb-2_mu0.08_a0_b0_amp-0.02_R3_dr0.0416667_quadratic_0_g220,-2.0,20.0,0.08,0.0,0.0,0.15,quadratic_0,-0.02,3,800.0,1000,150,0.041666666666666664,2,220,16348.695313692093,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,True,58229599
lgb-3.0_mu0.08_a0.2_b0.4_amp-0.02_R3_dr0.0625_quadratic_0,-3.0,,0.08,0.2,0.4,0.15,quadratic_0,-0.02,3,800.0,1000,150,0.0625,2,216,11160.415561676025,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,31237377
lgb-3_mu0.08_a0_b0_amp-0.02_R3_dr0.0416667_quadratic_0_g220,-3.0,20.0,0.08,0.0,0.0,0.15,quadratic_0,-0.02,3,800.0,1000,150,0.041666666666666664,2,220,17368.085583925247,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,True,69451869
lgb-4.0_mu0.08_a0.2_b0.4_amp-0.02_R3_dr0.0625_quadratic_0,-4.0,,0.08,0.2,0.4,0.15,quadratic_0,-0.02,3,800.0,1000,150,0.0625,2,216,10859.771932125092,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,31237377
lgb-4_mu0.08_a0_b0_amp-0.02_R3_dr0.0416667_quadratic_0_g220,-4.0,20.0,0.08,0.0,0.0,0.15,quadratic_0,-0.02,3,800.0,1000,150,0.041666666666666664,2,220,14585.13513636589,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,True,69451869
lgb-5.0_mu0.08_a0.2_b0.4_amp-0.02_R3_dr0.0625_quadratic_0,-5.0,,0.08,0.2,0.4,0.15,quadratic_0,-0.02,3,800.0,1000,150,0.0625,2,216,9178.241999387741,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,31237377
lgb-5_mu0.08_a0_b0_amp-0.02_R3_dr0.0416667_quadratic_0_g220,-5.0,20.0,0.08,0.0,0.0,0.15,quadratic_0,-0.02,3,800.0,1000,150,0.041666666666666664,2,220,15492.06021618843,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,True,69451869
lgb-6.0_mu0.08_a0.2_b0.4_amp-0.02_R3_dr0.0625_quadratic_10,-6.0,,0.08,0.2,0.4,0.15,quadratic_10,-0.02,3,800.0,1000,150,0.0625,2,216,9153.129979372025,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,31237381
lgb-6_mu0.08_a0_b0_amp-0.02_R3_dr0.0416667_quadratic_0_g220,-6.0,20.0,0.08,0.0,0.0,0.15,quadratic_0,-0.02,3,800.0,1000,150,0.041666666666666664,2,220,15326.178657531738,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,True,69451869
lgb-7.0_mu0.08_a0.2_b0.4_amp-0.02_R3_dr0.0625_quadratic_10,-7.0,,0.08,0.2,0.4,0.15,quadratic_10,-0.02,3,800.0,1000,150,0.0625,2,216,11228.164819955826,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,31237381
lgb-7_mu0.08_a0_b0_amp-0.02_R3_dr0.0416667_quadratic_0_g220,-7.0,20.0,0.08,0.0,0.0,0.15,quadratic_0,-0.02,3,800.0,1000,150,0.041666666666666664,2,220,14910.929291009903,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,True,69451869
